Time (s), Thrust(lbf), Chamber Pressure(psi), Mass Flow(lbm/s), Mass Ejected (lbm), Mass Flux (lbm/s/ft^2), Burn Area (in^2), Kn, Regression Rate (ft/s), Regression (in), Exit Pressure (psi), Force Coefficient, Free Volume (in^3), Volume Loading
0.48000000000000037,808.1450068055175,8706.590521149794,3.623825628260891,0.003623825628260891,177.9506460422168,89.80738804494999,1549.4994840548607,0.05170905445974626,0.30078637733735536,51.83216536355438,1.6014751955009592,359.2304103805729,11.247636081232493,
0.48100000000000037,808.0603912735968,8705.692290744464,3.6234515070169757,0.003623451507016976,177.703949855621,89.80247740495136,1549.4147579058217,0.05170654335051695,0.3014068558377062,51.82681800895094,1.60147273429162,359.2861308870809,11.2338696334919,
0.4820000000000004,807.9759113001712,8704.795499351096,3.623077984398461,0.0036230779843984605,177.45778033298873,89.79757439448684,1549.330163393606,0.051704036116511184,0.30202730425124996,51.82147922108847,1.6014702765185516,359.3418456496539,11.220104604862225,
0.4830000000000004,807.8915670228536,8703.900148430494,3.6227050610134426,0.0036227050610134425,177.21213604571142,89.7926790226506,1549.2457006751188,0.05170153276244506,0.302647722624546,51.8161490086635,1.6014678221880407,359.3975546775072,11.20634099306682,
0.4840000000000004,807.8073585792049,8703.006239442939,3.6223327374697853,0.0036223327374697856,176.96701557000142,89.78779129853383,1549.161369907216,0.0516990332930331,0.30326811100421,51.81082738036936,1.6014653713063722,359.4532579798645,11.192578795826735,
0.4850000000000004,807.7232861067366,8702.113773848174,3.6219610143751306,0.0036219610143751312,176.72241748687307,89.78291123122479,1549.0771712467038,0.051696537712988384,0.3038884694369143,51.805514344896196,1.6014629238798308,359.5089555659595,11.178818010860713,
0.4860000000000004,807.6393497429084,8701.222753105387,3.6215898923368997,0.0036215898923368994,176.47834038212312,89.77803882980888,1548.9931048503367,0.05169404602702256,0.30450879796938807,51.80020991093088,1.6014604799147005,359.5646474450352,11.165058635885172,
0.4870000000000004,807.5555496251313,8700.33317867326,3.621219371962287,0.003621219371962287,176.23478284631136,89.77317410336862,1548.9091708748217,0.05169155823984572,0.30512909664841664,51.79491408715725,1.6014580394172642,359.62033362634367,11.151300668614239,
0.4880000000000004,807.4718858907678,8699.445052009954,3.620849453858278,0.003620849453858278,175.99174347474215,89.76831706098378,1548.8253694768168,0.05168907435616659,0.3057493655208421,51.789626882256044,1.601455602393805,359.6760141191466,11.137544106759723,
0.4890000000000004,807.388358677129,8698.558374573086,3.620480138631629,0.0036204801386316293,175.7492208674443,89.7634677117311,1548.7417008129285,0.051686594380692424,0.3063696046335627,51.78434830490476,1.6014531688506042,359.73168893271486,11.123788948031132,
0.4900000000000004,807.3049681214794,8697.673147819778,3.620111426888888,0.0036201114268888876,175.5072136291529,89.75862606468469,1548.6581650397175,0.051684118318128976,0.3069898140335336,51.77907836377794,1.6014507387939436,359.7873580763286,11.110035190135692,
