Time (s), Thrust(N), Chamber Pressure(MPa), Mass Flow(kg/s), Mass Ejected (kg), Mass Flux (kg/s/m^2), Burn Area (cm^2), Kn, Regression Rate (m/s), Regression (mm), Exit Pressure (MPa), Force Coefficient, Free Volume (cm^3), Volume Loading
0.001,11.229985644157145,0.101325,0.0,0.0,0.0,815.1537062485302,1143.9832283691176,0.0,0.0,0.0017459462901516412,1.55540230640485,191.659052165,76.50588865532157,
0.002,3876.804076096892,34.97931212538073,0.1037220188428479,1.037220188428479E-4,262.3932877872816,815.1195260809596,1143.9352600679936,8.04448216822529E-4,8.044482168225291E-4,0.6027337797914122,1.55540230640485,191.7246243099253,76.49785063542852,
0.003,3871.2180384845747,34.92891088008951,1.8164270820028425,0.0018164270820028425,4567.936739204273,814.5203218500086,1143.0943394105502,0.01409822615547261,0.01490267437229514,0.6018653083654537,1.55540230640485,192.87295348049227,76.35708518193762,
0.004,3865.6366274821685,34.87855137939744,1.813808996418976,0.001813808996418976,4534.540702596416,813.9211906143745,1142.253521194423,0.014088268657816016,0.02899094303011116,0.6009975562469516,1.55540230640485,194.01962752045876,76.21652261905992,
0.005,3860.0598476711875,34.82823366464225,1.8111930812654122,0.0018111930812654124,4501.582154100101,813.3221330091254,1141.4128063108635,0.014078312085969224,0.04306925511608038,0.6001305241482029,1.55540230640485,195.1646478019516,76.07616277859618,
0.006,3854.4877036052562,34.77795777690999,1.8085793386836693,0.0018085793386836693,4469.05255728242,812.7231496681085,1140.5721956494099,0.01406835645037178,0.05713761156645216,0.5992642127771668,1.55540230640485,196.30801569845158,75.93600549218127,
0.007,3848.9201998101626,34.72772375703559,1.8059677708021988,0.0018059677708021989,4436.943596414758,812.1242412239525,1139.731690097891,0.014058401761443979,0.07119601332789614,0.5983986228374767,1.55540230640485,197.449732584785,75.79605059128505,
0.008,3843.3573407839203,34.67753164560335,1.803358379736419,0.001803358379736419,4405.247169385906,811.5254083080697,1138.8912905424281,0.014048448029586911,0.08524446135748306,0.5975337550284464,1.55540230640485,198.58979983711552,75.65629790721346,
0.009000000000000001,3837.7991309968315,34.62738148294755,1.8007511675887369,0.001800751167588737,4373.955380886448,810.9266515506572,1138.0509978674368,0.014038495265182473,0.09928295662266554,0.5966696100450819,1.55540230640485,199.72821883293594,75.51674727110952,
0.010000000000000002,3832.245574891542,34.577273309152936,1.798146136448582,0.001798146136448582,4343.060535852484,810.3279715806993,1137.2108129556314,0.014028543478593409,0.11331150010125894,0.5958061885780896,1.55540230640485,200.86499095105995,75.37739851395435,
0.011000000000000003,3826.6966768831157,34.52720716405538,1.7955432883924316,0.0017955432883924316,4312.555133157174,809.729369025969,1136.3707366880255,0.014018592680163332,0.1273300927814223,0.5949434913138877,1.55540230640485,202.00011757161406,75.2382514665681,
0.012000000000000004,3821.152441359076,34.47718308724228,1.7929426254838419,0.0017929426254838419,4282.431859539313,809.1308445130302,1135.5307699439363,0.014008642880216759,0.14133873566163904,0.5940815189346121,1.55540230640485,203.13360007602915,75.09930595961106,
0.013000000000000005,3815.61287267949,34.42720111805329,1.790344149773476,0.001790344149773476,4252.683583758537,808.5323986672391,1134.690913600986,0.013998694089059136,0.15533742975069817,0.5932202721181307,1.55540230640485,204.26543984703272,74.96056182358456,
0.014000000000000005,3810.07797517701,34.37726129558072,1.7877478632991317,0.0017877478632991317,4223.303350967414,807.9340321127463,1133.8511685351052,0.013988746316976873,0.16932617606767505,0.5923597515380484,1.55540230640485,205.39563826864048,74.82201888883199,
0.015000000000000006,3804.5477531569436,34.32736365867013,1.785153768085771,0.001785153768085771,4194.284377291055,807.3357454724987,1133.0115356205345,0.013978799574237371,0.18330497564191245,0.5914999578637197,1.55540230640485,206.52419672614823,74.68367698553989,
0.016000000000000007,3799.022210897315,34.27750824592095,1.7825618661455476,0.0017825618661455476,4165.62004460537,806.7375393682414,1132.1720157298284,0.013968853871089041,0.1972738295130015,0.5906408917602566,1.55540230640485,207.65111660612394,74.5455359437388,
0.017000000000000008,3793.5013526489206,34.227695095686904,1.7799721594778373,0.0017799721594778373,4137.303895505568,806.1394144205191,1131.3326097338568,0.013958909217761356,0.21123273873076284,0.5897825538885376,1.55540230640485,208.77639929639946,74.40759559330436,
0.01800000000000001,3787.9851826353915,34.177924246076635,1.7773846500692627,0.0017773846500692627,4109.329628456788,805.5413712486777,1130.493318501807,0.01394896562446485,0.22518170435522772,0.5889249449052193,1.55540230640485,209.90004618606267,74.26985576395823,
0.01900000000000001,3782.4737050532653,34.12819573495432,1.7747993398937276,0.0017747993398937276,4081.6910931193047,804.9434104708677,1129.6541429011888,0.013939023101391175,0.23912072745661886,0.5880680654627443,1.55540230640485,211.02205866544926,74.13231628526911,
0.02000000000000001,3776.9669240720245,34.07850959994001,1.7722162309124398,0.0017722162309124398,4054.3822858409494,804.345532704044,1128.8150837978344,0.01392908165871312,0.25304980911533204,0.5872119162093499,1.55540230640485,212.14243812613483,73.99497698665368,
0.02100000000000001,3771.464843834167,34.02886587841033,1.7696353250739407,0.0017696353250739407,4027.3973453098392,803.7477385639689,1127.9761420559014,0.013919141306584622,0.26696895042191665,0.5863564977890776,1.55540230640485,213.2611859609268,73.85783769737768,
0.022000000000000013,3765.967468455282,33.97926460749906,1.7670566243141352,0.0017670566243141353,4000.730548360815,803.1500286652138,1127.1373185378768,0.013909202055140813,0.2808781524770575,0.585501810841786,1.55540230640485,214.37830356385646,73.72089824655677,
0.023000000000000013,3760.474802024083,33.92970582409752,1.7644801305563198,0.0017644801305563198,3974.3763059292523,802.5524036211601,1126.2986141045778,0.013899263914498064,0.2947774163915555,0.5846478560031545,1.55540230640485,215.49379233017098,73.5841584631576,
0.024000000000000014,3754.986848602486,33.88018956485522,1.7619058457112071,0.0017619058457112073,3948.3291591462603,801.9548640440021,1125.460029615155,0.013889326894753971,0.30866674328630955,0.5837946339046962,1.55540230640485,216.6076536563255,73.44761817599874,
0.025000000000000015,3749.503612225668,33.83071586618045,1.7593337716769613,0.0017593337716769613,3922.5837755695416,801.3574105447486,1124.6215659270958,0.013879391005987417,0.32254613429229695,0.5829421451737677,1.55540230640485,217.7198889399751,73.31127721375164,
0.026000000000000016,3744.025096902114,33.781284764240624,1.7567639103392179,0.0017567639103392178,3897.13494554442,800.760043733224,1123.7832238962246,0.013869456258258597,0.3364155905505556,0.5820903904335759,1.55540230640485,218.830499579967,73.17513540494164,
0.027000000000000017,3738.551306613698,33.73189629496308,1.7541962635711172,0.0017541962635711174,3871.977578689858,800.1627642180708,1122.9450043767083,0.013859522661609024,0.35027511321216465,0.5812393703031896,1.55540230640485,219.93948697633263,73.0391925779489,
0.028000000000000018,3733.082245315723,33.68255049403539,1.7516308332333328,0.001751630833233333,3847.1067005044515,799.5655726067512,1122.106908221056,0.013849590226061591,0.36412470343822617,0.5803890853975469,1.55540230640485,221.0468525302796,72.90344856100941,
0.02900000000000002,3727.6179169369893,33.63324739690603,1.7490676211740948,0.0017490676211740948,3822.5174490876666,798.9684695055477,1121.268936280123,0.013839658961620573,0.37796436239984676,0.5795395363274657,1.55540230640485,222.15259764418408,72.76790318221593,
0.03000000000000002,3722.1583253798563,33.58398703878489,1.746506629229221,0.0017465066292292211,3798.2050719717713,798.3714555195675,1120.4310894031132,0.013829728878271651,0.39179409127811843,0.5786907236996526,1.55540230640485,223.25672372158274,72.63255626951891,
0.03100000000000002,3716.703474520298,33.53476945464378,1.743947859222146,0.0017439478592221462,3774.1649230601474,797.7745312527412,1119.593368437581,0.013819799985981969,0.40561389126410036,0.5778426481167127,1.55540230640485,224.3592321671651,72.49740765072757,
0.03200000000000002,3711.253368207964,33.48559467921701,1.7413913129639464,0.0017413913129639465,3750.392459667798,797.1776973078271,1118.755774229434,0.013809872294700138,0.4194237635588005,0.5769953101771573,1.55540230640485,225.4601243867655,72.36245715351069,
0.03300000000000002,3705.808010266236,33.43646274700189,1.73883699225337,0.00173883699225337,3726.88323966013,796.5809542864112,1117.9183076229365,0.01379994581435627,0.4332237093731568,0.5761487104754159,1.55540230640485,226.55940178735557,72.22770460539772,
0.03400000000000002,3700.3674044922923,33.38737369225927,1.7362848988768627,0.0017362848988768627,3703.6329186862126,795.9843027889099,1117.0809694607092,0.013790020554862002,0.4470137299280188,0.5753028496018413,1.55540230640485,227.65706577703622,72.09314983377962,
0.035000000000000024,3694.9315546571634,33.3383275490141,1.7337350346085987,0.0017337350346085987,3680.6372475028857,795.3877434145714,1116.2437605837351,0.01378009652611054,0.46079382645412936,0.5744577281427234,1.55540230640485,228.75311776503003,71.9587926659099,
0.036000000000000025,3689.5004645057893,33.28932435105594,1.731187401210504,0.001731187401210504,3657.892069386262,794.7912767614772,1115.406681831359,0.013770173737976663,0.474564000192106,0.5736133466802942,1.55540230640485,229.84755916167342,71.82463292890553,
0.037000000000000026,3684.0741377570844,33.24036413193949,1.7286420004322882,0.0017286420004322882,3635.393317627314,794.1949034265446,1114.5697340412921,0.013760252200316766,0.4883242523924228,0.5727697057927407,1.55540230640485,230.94039137840898,71.69067044974784,
