Time (s), Thrust(N), Chamber Pressure(MPa), Mass Flow(kg/s), Mass Ejected (kg), Mass Flux (kg/s/m^2), Burn Area (cm^2), Kn, Regression Rate (m/s), Regression (mm), Exit Pressure (MPa), Force Coefficient, Free Volume (cm^3), Volume Loading
0.001,7.152966964385246,0.101325,0.0,0.0,0.0,462.54605507298874,1046.9900952536493,0.0,0.0,9.333268736656755E-4,1.5979279701711486,1087.3414542468104,38.60943174267463,
0.002,2367.15351881238,33.53179617463511,0.07096569357820862,7.096569357820861E-5,1580.5659923693324,462.5398232112115,1046.9759892041345,8.523673712571129E-4,8.52367371257113E-4,0.3088687877461453,1.597927970171148,1087.3808796321316,38.60720581189715,
0.003,2366.232659010526,33.51875178062526,1.084518060166606,0.001084518060166606,22968.89640519658,462.44444881561645,1046.7601057338645,0.01302880886491346,0.013881176236170573,0.30874863294907656,1.5979279701711482,1087.9833896655575,38.57318850005065,
0.004,2365.3100043970458,33.50568196230003,1.0840956426444945,0.0010840956426444945,21886.38316390542,462.3488710321067,1046.5437618875305,0.013026426466236484,0.02690760270240706,0.3086282439630185,1.5979279701711482,1088.5856650225821,38.53918443787614,
0.005,2364.3855572541456,33.4925867519879,1.083672403208929,0.001083672403208929,20901.30328529824,462.2530899848765,1046.3269579462515,0.01302403893124127,0.039931641633648325,0.3085076210857554,1.597927970171148,1089.1877052465873,38.505193651154,
0.006,2363.4593198670404,33.479466182059966,1.0832483429064548,0.0010832483429064547,20001.067765829685,462.15710579828027,1046.1096941915073,0.013021646262660792,0.05295328789630912,0.3083867646154644,1.5979279701711482,1089.7895098815352,38.4712161656318,
0.007,2362.53129452394,33.46632028492975,1.0828234627849938,0.0010828234627849938,19175.166823601998,462.06091859683147,1045.8919709051393,0.013019248463231374,0.06597253635954049,0.30826567485071404,1.597927970171148,1090.3910784719712,38.437252007024235,
0.008,2361.6014835160454,33.45314909305314,1.0823977638938382,0.0010823977638938383,18414.757660049836,461.9645285052026,1045.6737883693481,0.013016845535692686,0.07898938189523318,0.3081443520904623,1.5979279701711482,1090.9924105630234,38.40330120101304,
0.009000000000000001,2360.669889137543,33.43995263892834,1.0819712472836507,0.0010819712472836507,17712.346560066813,461.8679356482255,1045.4551468666955,0.013014437482787734,0.0920038193780209,0.30802279663405774,1.5979279701711482,1091.5935057004033,38.36936377324706,
0.010000000000000002,2359.7365136855883,33.42673095509557,1.0815439140064576,0.0010815439140064577,17061.541068964758,461.77114015089046,1045.236046680101,0.013012024307262868,0.10501584368528379,0.30790100878123516,1.5979279701711482,1092.194363430407,38.33543974934209,
0.011000000000000003,2358.801359460313,33.41348407413725,1.0811157651156473,0.0010811157651156474,16456.85486282539,461.6741421383469,1045.0164880928455,0.013009606011867762,0.11802544969715154,0.3077789888321188,1.5979279701711482,1092.7949832999157,38.30152915488092,
0.012000000000000004,2357.8644287648076,33.40021202867768,1.0806868016659676,0.0010806868016659677,15893.552688344804,461.57694173590255,1044.7964713885676,0.013007182599355441,0.131032632296507,0.3076567370872179,1.5979279701711482,1093.3953648563968,38.26763201541324,
