Time (s), Thrust(N), Chamber Pressure(MPa), Mass Flow(kg/s), Mass Ejected (kg), Mass Flux (kg/s/m^2), Burn Area (cm^2), Kn, Regression Rate (m/s), Regression (mm), Exit Pressure (MPa), Force Coefficient, Free Volume (cm^3), Volume Loading
0.4980000000000004,9307.462000124235,153.14465005701555,4.195225248342344,0.0041952252483423436,1522.470128005296,951.8068233689249,2545.427612816785,0.02448690885902739,13.221942531367604,0.9117023239590535,1.6253293547941103,8321.388386880948,8.883863999142239,
0.4990000000000004,9297.953188732485,152.98819241120106,4.190942856717863,0.004190942856717863,1519.4924723939282,951.2913289690349,2544.0490203886616,0.024475168816988836,13.246417700184594,0.9107708986742838,1.6253293547941103,8323.716688468014,8.858369954856016,
0.5000000000000003,9288.437162890528,152.83161605907836,4.186657206530377,0.004186657206530377,1516.52600736895,950.77519533865,2542.66871845929,0.024463413451443698,13.270881113636039,0.9098387667058859,1.6253293547941103,8326.042609138309,8.832901980730934,
0.5010000000000003,9278.91396177989,152.67492164533894,4.182368315432545,0.004182368315432545,1513.5706685274204,950.2584236655825,2541.2867102052505,0.024451642786339416,13.295332756422377,0.9089059318918424,1.6253293547941103,8328.366147091325,8.8074600964819,
0.5020000000000003,9269.383624579468,152.518109814631,4.1780762010758785,0.004178076201075878,1510.6263919781832,949.7410151385297,2539.902998805488,0.024439856845643232,13.31977261326802,0.907972398069881,1.6253293547941103,8330.687300536369,8.782044321716388,
0.5030000000000003,9259.846190465252,152.3611812115549,4.173780881110641,0.004173780881110641,1507.6931143368738,949.2229709470678,2538.5175874413003,0.024428055653342187,13.344200668921363,0.9070381690774427,1.6253293547941103,8333.00606769254,8.756654675934527,
0.5040000000000003,9250.3016986101,152.20413648065943,4.169482373185725,0.004169482373185726,1504.7707727209665,948.7042922816481,2537.130479296325,0.024416239233442966,13.368616908154806,0.9061032487516615,1.6253293547941103,8335.322446788756,8.731291178529087,
0.5050000000000003,9240.75018818344,152.04697626643699,4.1651806949485515,0.004165180694948552,1501.8593047448971,948.1849803335926,2535.7416775565275,0.024404407609971892,13.393021315764779,0.905167640929337,1.6253293547941103,8337.636436063727,8.705953848785509,
0.5060000000000003,9231.191698351065,151.88970121332017,4.160875864044942,0.004160875864044942,1498.9586485152295,947.665036295089,2534.351185410188,0.02439256080697476,13.417413876571754,0.9042313494469113,1.6253293547941103,8339.948033765973,8.680642705881848,
0.5070000000000003,9221.62626827488,151.7323119656775,4.156567898119015,0.004156567898119015,1496.0687426258821,947.144461359186,2532.959006047891,0.024380698848516798,13.441794575420271,0.9032943781404471,1.6253293547941103,8342.257238153818,8.65535776888885,
0.5080000000000003,9212.053937112623,151.57480916780906,4.152256814813078,0.004152256814813078,1493.1895261534198,946.6232567197901,2531.565142662513,0.024368821758682605,13.466163397178953,0.9023567308455971,1.6253293547941103,8344.564047495382,8.630099056769936,
0.5090000000000003,9202.474744017634,151.4171934639425,4.147942631767504,0.004147942631767504,1490.3209386523822,946.1014235716589,2530.169598449209,0.02435692956157601,13.49052032674053,0.9014184113975845,1.6253293547941103,8346.868460068587,8.60486658838122,
0.5100000000000003,9192.888728138607,151.25946549822908,4.143625366620623,0.004143625366620623,1487.4629201506834,945.578963110398,2528.772376605399,0.024345022281320027,13.514865349021848,0.9004794236311771,1.6253293547941103,8349.170474161152,8.579660382471532,
0.5110000000000003,9183.295928619358,151.10162591473974,4.139305037008621,0.004139305037008621,1484.615411145057,945.0558765324577,2527.3734803307634,0.024333099942056752,13.539198448963905,0.899539771380665,1.6253293547941103,8351.470088070602,8.55448045768239,
0.5120000000000003,9173.696384598537,150.94367535746045,4.134981660565414,0.004134981660565413,1481.778352596554,944.5321650351249,2525.972912827221,0.024321162567947325,13.563519611531852,0.8985994584798321,1.6253293547941103,8353.76730010425,8.52932683254808,
0.5130000000000003,9164.090135209426,150.7856144702888,4.1306552549225435,0.004130655254922544,1478.9516859260957,944.0078298165223,2524.5706772989242,0.024309210183171767,13.587828821715023,0.8976584887619363,1.6253293547941103,8356.062108579208,8.504199525495594,
0.5140000000000003,9154.477219579649,150.6274438970294,4.126325837709061,0.004126325837709061,1476.1353530100732,943.4828720756011,2523.1667769522414,0.024297242811928976,13.612126064526954,0.8967168660596816,1.6253293547941103,8358.35451182238,8.479098554844711,
0.5150000000000003,9144.85767683095,150.46916428139,4.121993426551421,0.004121993426551421,1473.3292961760042,942.9572930121384,2521.76121499575,0.02428526047843658,13.63641132500539,0.895774594205196,1.6253293547941103,8360.644508170464,8.454023938807975,
0.5160000000000003,9135.231546078949,150.31077626697763,4.117658039073366,0.004117658039073367,1470.5334581982331,942.4310938267314,2520.35399464022,0.024273263206930892,13.66068458821232,0.8948316770300071,1.6253293547941103,8362.932095969949,8.428975695490749,
0.5170000000000003,9125.598866432889,150.15228049729438,4.1133196928958204,0.00411331969289582,1467.7477822936853,941.9042757207935,2518.945119098606,0.02426125102166682,13.684945839233986,0.893888118365019,1.6253293547941103,8365.217273577113,8.403953842891154,
0.5180000000000003,9115.959676995379,149.99367761573322,4.108978405636775,0.004108978405636775,1464.9722121176694,941.3768398965497,2517.5345915860303,0.02424922394691778,13.709195063180903,0.8929439220404848,1.6253293547941103,8367.500039358021,8.378958398900194,
0.5190000000000003,9106.31401686217,149.83496826557425,4.1046341949111795,0.0041046341949111794,1462.2066917597222,940.8487875570323,2516.122415319777,0.024237182006975597,13.73343224518788,0.8919990918859863,1.6253293547941103,8369.780391688528,8.353989381301663,
0.5200000000000004,9096.661925121885,149.67615308998026,4.100287078330828,0.004100287078330828,1459.4511657395078,940.3201199060754,2514.7085935192713,0.024225125226150456,13.757657370414028,0.8910536317304074,1.6253293547941103,8372.058328954266,8.329046807772256,
