Time (s), Thrust(N), Chamber Pressure(MPa), Mass Flow(kg/s), Mass Ejected (kg), Mass Flux (kg/s/m^2), Burn Area (cm^2), Kn, Regression Rate (m/s), Regression (mm), Exit Pressure (MPa), Force Coefficient, Free Volume (cm^3), Volume Loading
0.001,6.278521514034307,0.101325,0.0,0.0,0.0,142.17277553820605,369.42857142857144,0.0,0.0,7.730391076896339E-4,1.6101072773786045,376.9911184307752,57.41333972626447,
0.002,686.5808193022253,11.080284006400849,0.02667483049151598,2.667483049151598E-5,22.61087927251348,142.1929435955866,369.48097707795387,0.0010422001189603616,0.0010422001189603616,0.08453483493304674,1.6101072773786043,377.00593778104826,57.41166566392002,
0.003,688.4864453890114,11.1110376739342,0.2665289366795753,2.665289366795753E-4,222.83749973102454,142.3940839576484,370.00362985962613,0.010398720745497627,0.01144092086445799,0.0847694639558241,1.6101072773786043,377.15400941253694,57.39493880761466,
0.004,690.3957034340409,11.141849955293782,0.2672683687254704,2.672683687254704E-4,220.44114286308894,142.59533428539663,370.526568381422,0.010412853114290993,0.021853773978748985,0.08500454016119376,1.6101072773786043,377.3024918396066,57.3781655459406,
0.005,692.3085924861385,11.172720835129196,0.26800920850994153,2.6800920850994156E-4,218.10578585253293,142.79669404712428,371.04979126172833,0.010426992425931713,0.032280766404680694,0.08524006343204284,1.610107277378604,377.45138584433437,57.361345790550786,
0.006,694.2251115491416,11.203650297364005,0.26875145565537956,2.6875145565537955E-4,215.82914441163024,142.99816270906064,371.57329711356965,0.01044113864293225,0.042721905047612946,0.08547603364571944,1.6101072773786043,377.60069220858736,57.34447945312191,
0.007,696.145259581716,11.234638325192805,0.2694951097666996,2.694951097666996E-4,213.60904682389116,143.19973973537,372.09708454460474,0.010455291727668122,0.05317719677528107,0.08571245067400994,1.610107277378604,377.7504117140133,57.327566445355394,
0.008,698.0690354971814,11.265684901078355,0.2702401704312718,2.702401704312718E-4,211.44342709345423,143.40142458815046,372.6211521571235,0.010469451642377827,0.06364664841765891,0.08594931438311754,1.6101072773786043,377.90054514203064,57.3106066789786,
0.009000000000000001,699.9964381633337,11.296790006748749,0.27098663721885247,2.7098663721885247E-4,209.33031858874017,143.6032167274329,373.14549854804415,0.010483618349162768,0.07413026676682168,0.08618662463364023,1.6101072773786043,378.05109327381894,57.29360006574592,
0.010000000000000002,701.9274664022681,11.327953623194546,0.27173450968151575,2.717345096815157E-4,207.26784813925937,143.80511561117984,373.6701223089104,0.010497791809987226,0.0846280585768089,0.0864243812805493,1.6101072773786043,378.20205689030865,57.27654651743978,
0.011000000000000003,703.8621189902003,11.359175730665871,0.27248378735358486,2.7248378735358485E-4,205.25423054832407,144.00712069528421,374.1950220258884,0.01051197198667829,0.09514003056348717,0.08666258417316701,1.6101072773786043,378.3534367721718,57.25944594587189,
0.012000000000000004,705.8003946572928,11.390456308669648,0.2732344697515633,2.732344697515633E-4,203.2877634878767,144.20923143356876,374.720196279765,0.010526158840925793,0.10566618940441297,0.08690123315514546,1.6101072773786043,378.5052336998115,57.2422982628843,
0.013000000000000005,707.7422920874747,11.421795335966658,0.2739865563740664,2.739865563740664E-4,201.3668227447464,144.4114472777845,375.2456436459436,0.01054035233428229,0.11620654173869527,0.0871403280644442,1.610107277378604,378.65744845335263,57.2251033803505,
